"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
1,0,0.50002448,0.0674534606676846,0.0399321155211722,0.344476520766488,0.655572439233512,0.9694,0.0306,0.0166,0.014,0.349614985030995,0.650440464518225,0.9774,0.0226,0.0114,0.0112
2,0,0.499773680000001,0.067216833013927,0.0386598034582252,0.344771385114557,0.654775974885444,0.9732,0.0268,0.014,0.0128,0.349854723567781,0.649739103065994,0.9808,0.0192,0.0098,0.0094
3,0,0.498781680000002,0.0675742062002316,0.040318282690877,0.342955281069126,0.654608078930871,0.969,0.031,0.013,0.018,0.34823847051598,0.64957878945154,0.9764,0.0236,0.0102,0.0134
4,0,0.500724560000001,0.0674393073887921,0.0397667844445718,0.345209238286141,0.65623988171386,0.9706,0.0294,0.0154,0.014,0.350246688430609,0.651059053365545,0.9776,0.0224,0.0112,0.0112
5,0,0.499801039999999,0.0678420313616139,0.0418859344500897,0.343357035139468,0.656245044860532,0.9688,0.0312,0.015,0.0162,0.348646814038874,0.651067073219149,0.976,0.024,0.0112,0.0128
6,0,0.49870136,0.0677453406176932,0.0413532229971133,0.342480324394785,0.654922395605218,0.973,0.027,0.0126,0.0144,0.347841890407242,0.64989278489166,0.9808,0.0192,0.0086,0.0106
7,0,0.500269439999999,0.067654093784662,0.0409616224368391,0.344258819969079,0.656280060030922,0.9692,0.0308,0.0162,0.0146,0.349420927401756,0.651108498749478,0.9768,0.0232,0.012,0.0112
8,0,0.499680079999999,0.0677512800704831,0.0413103855479935,0.343445347992091,0.655914812007908,0.9742,0.0258,0.013,0.0128,0.348691186070919,0.650761842192952,0.9806,0.0194,0.0098,0.0096
9,0,0.499399600000002,0.0685291769054475,0.0452953431029627,0.341371034673899,0.6574281653261,0.972,0.028,0.014,0.014,0.346881096557466,0.652095125505804,0.979,0.021,0.0102,0.0108
10,0,0.499333839999999,0.0681913622757122,0.0435481093827111,0.342084276607003,0.656583403392997,0.9716,0.0284,0.0136,0.0148,0.347422108008021,0.651279223546184,0.9794,0.0206,0.0098,0.0108
11,0,0.500024240000001,0.0686015385887771,0.0453461453543641,0.341828808332912,0.658219671667088,0.97,0.03,0.015,0.015,0.347286644412014,0.652872543056074,0.9772,0.0228,0.0114,0.0114
12,0,0.49960608,0.0683726583482144,0.0444212634287482,0.341938447114116,0.657273712885883,0.9698,0.0302,0.0148,0.0154,0.347360023208413,0.651980675403648,0.9778,0.0222,0.0106,0.0116
13,0,0.49945208888889,0.0448487394774067,0.0297702703948756,0.396030710195295,0.602873467582484,0.9648,0.0352,0.0168,0.0184,0.397673914635232,0.601236528614459,0.9688,0.0312,0.0148,0.0164
14,0,0.499339831111111,0.0447248038029697,0.0294586953340825,0.396204248595268,0.602475413626954,0.962,0.038,0.019,0.019,0.397874553574124,0.600889557114404,0.9652,0.0348,0.0182,0.0166
15,0,0.499377626666666,0.0445952952869437,0.0289829358602502,0.396540691324324,0.60221456200901,0.9602,0.0398,0.0198,0.02,0.398183750086235,0.600643631888174,0.9628,0.0372,0.0184,0.0188
16,0,0.499554995555553,0.0445845852286534,0.0289286633961369,0.396742757651918,0.602367233459191,0.9606,0.0394,0.02,0.0194,0.398362111997812,0.60078291112328,0.964,0.036,0.018,0.018
17,0,0.499773093333335,0.0453193273298074,0.0312632033598968,0.395266537106126,0.604279649560541,0.9622,0.0378,0.019,0.0188,0.396978134243386,0.602594588648319,0.9652,0.0348,0.0172,0.0176
18,0,0.499544604444443,0.0456868880126255,0.032291599935031,0.394190451762721,0.604898757126169,0.9636,0.0364,0.0156,0.0208,0.395954618616129,0.603187784402304,0.9664,0.0336,0.0146,0.019
